=> Time:           20250916_222022
=> Features:       ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'is_outside']

=> PID split:      0

=> Epoch 000 | Train: 1.1784 (Easy: 0.8531, Hard: 1.4931) | Val: 0.8819 (Easy: 0.5492, Hard: 1.1975) | LR: 0.001000
=> Epoch 001 | Train: 0.9922 (Easy: 0.5796, Hard: 1.4037) | Val: 0.8240 (Easy: 0.5100, Hard: 1.1270) | LR: 0.001000
=> Epoch 002 | Train: 0.9559 (Easy: 0.5694, Hard: 1.3443) | Val: 0.7857 (Easy: 0.4885, Hard: 1.0780) | LR: 0.001000
=> Epoch 003 | Train: 0.9389 (Easy: 0.5499, Hard: 1.3299) | Val: 0.7668 (Easy: 0.4788, Hard: 1.0545) | LR: 0.001000
=> Epoch 004 | Train: 0.9056 (Easy: 0.5382, Hard: 1.2643) | Val: 0.7572 (Easy: 0.4777, Hard: 1.0384) | LR: 0.001000
=> Epoch 005 | Train: 0.9080 (Easy: 0.5448, Hard: 1.2638) | Val: 0.7458 (Easy: 0.4671, Hard: 1.0292) | LR: 0.001000
=> Epoch 006 | Train: 0.8979 (Easy: 0.5303, Hard: 1.2580) | Val: 0.7385 (Easy: 0.4587, Hard: 1.0229) | LR: 0.001000
=> Epoch 007 | Train: 0.8817 (Easy: 0.5259, Hard: 1.2327) | Val: 0.7370 (Easy: 0.4607, Hard: 1.0182) | LR: 0.001000
=> Epoch 008 | Train: 0.8687 (Easy: 0.5198, Hard: 1.2088) | Val: 0.7322 (Easy: 0.4585, Hard: 1.0095) | LR: 0.001000
=> Epoch 009 | Train: 0.8600 (Easy: 0.5165, Hard: 1.1923) | Val: 0.7280 (Easy: 0.4631, Hard: 0.9964) | LR: 0.001000
=> Epoch 010 | Train: 0.8593 (Easy: 0.5160, Hard: 1.1941) | Val: 0.7202 (Easy: 0.4575, Hard: 0.9861) | LR: 0.001000
=> Epoch 011 | Train: 0.8366 (Easy: 0.4979, Hard: 1.1590) | Val: 0.7193 (Easy: 0.4546, Hard: 0.9873) | LR: 0.001000
=> Epoch 012 | Train: 0.8393 (Easy: 0.5019, Hard: 1.1646) | Val: 0.7121 (Easy: 0.4478, Hard: 0.9809) | LR: 0.001000
